Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.047619,0.035088,0.020408,0.010417,0.040816,0.12381,0.026316,0.022727,0.040900125
15,0.047619,0.052632,0.020408,0.03125,0.040816,0.095238,0.035088,0.034091,0.04464275
20,0.047619,0.061404,0.030612,0.03125,0.05102,0.095238,0.061404,0.022727,0.05015925
25,0.047619,0.061404,0.030612,0.03125,0.05102,0.095238,0.04386,0.045455,0.050807250000000005
30,0.055556,0.070175,0.040816,0.052083,0.071429,0.085714,0.04386,0.056818,0.059556375
35,0.055556,0.052632,0.040816,0.03125,0.071429,0.07619,0.061404,0.056818,0.055761874999999995
40,0.055556,0.052632,0.040816,0.03125,0.081633,0.085714,0.035088,0.079545,0.057779250000000004
45,0.071429,0.061404,0.05102,0.0625,0.071429,0.085714,0.070175,0.056818,0.066311125
50,0.063492,0.052632,0.05102,0.041667,0.071429,0.085714,0.061404,0.045455,0.05910162500000001
55,0.055556,0.035088,0.061224,0.072917,0.061224,0.066667,0.078947,0.068182,0.062475625
60,0.063492,0.035088,0.061224,0.03125,0.05102,0.07619,0.070175,0.056818,0.055657124999999995
65,0.055556,0.035088,0.061224,0.03125,0.05102,0.07619,0.052632,0.045455,0.051051875000000004
70,0.055556,0.035088,0.061224,0.041667,0.05102,0.104762,0.070175,0.034091,0.056697874999999995
75,0.055556,0.035088,0.071429,0.03125,0.040816,0.104762,0.070175,0.034091,0.055395875
80,0.047619,0.04386,0.061224,0.0,0.05102,0.095238,0.052632,0.034091,0.0482105
